ich [haben] (praesens), ich habe
du [haben] (praesens), du hast
er/sie/es [haben] (praesens), er hat
wir [haben] (praesens), wir haben
ihr [haben] (praesens), ihr habt
sie [haben] (praesens), sie haben
Sie [haben] (praesens), sie haben
ich [sein] (praesens), ich bin
du [sein] (praesens), du bist
er/sie/es [sein] (praesens), er ist
wir [sein] (praesens), wir sind
ihr [sein] (praesens), ihr seid
sie [sein] (praesens), sie sind
Sie [sein] (praesens), Sie sind
ich [werden] (praesens), ich wurde
du [werden] (praesens), du wirst
er/sie/es [werden] (praesens), er wird
wir [werden] (praesens), wir werden
ihr [werden] (praesens), ihr werdet
sie [werden] (praesens), sie werden
Sie [werden] (praesens), Sie werden
